id,date,hour,bathroom,bedroom,front-door,hallway,kitchen
16f4b,2019-06-07,0,2.0,0.0,4.0,4.0,5.0
16f4b,2019-06-07,1,1.0,0.0,0.0,4.0,4.0
16f4b,2019-06-07,2,0.0,0.0,0.0,2.0,1.0
16f4b,2019-06-07,7,1.0,0.0,0.0,2.0,0.0
16f4b,2019-06-07,8,1.0,0.0,2.0,3.0,1.0
16f4b,2019-06-07,9,7.0,0.0,0.0,11.0,13.0
16f4b,2019-06-07,10,14.0,0.0,6.0,17.0,13.0
16f4b,2019-06-07,11,13.0,0.0,2.0,12.0,13.0
16f4b,2019-06-07,12,14.0,0.0,0.0,2.0,14.0
16f4b,2019-06-07,13,21.0,0.0,0.0,6.0,19.0
16f4b,2019-06-07,14,5.0,0.0,4.0,8.0,10.0
16f4b,2019-06-07,15,1.0,0.0,0.0,4.0,10.0
16f4b,2019-06-07,16,1.0,0.0,2.0,4.0,1.0
16f4b,2019-06-07,17,1.0,0.0,4.0,2.0,2.0
16f4b,2019-06-07,18,2.0,0.0,2.0,1.0,6.0
16f4b,2019-06-07,19,0.0,0.0,0.0,0.0,3.0
16f4b,2019-06-07,20,1.0,0.0,0.0,2.0,19.0
16f4b,2019-06-07,21,2.0,0.0,2.0,2.0,2.0
16f4b,2019-06-07,22,0.0,0.0,8.0,8.0,14.0
16f4b,2019-06-07,23,0.0,0.0,0.0,0.0,1.0
16f4b,2019-06-08,0,2.0,0.0,0.0,2.0,6.0
16f4b,2019-06-08,1,0.0,0.0,0.0,1.0,1.0
16f4b,2019-06-08,2,0.0,0.0,0.0,0.0,2.0
16f4b,2019-06-08,5,1.0,0.0,0.0,0.0,0.0
16f4b,2019-06-08,7,7.0,0.0,0.0,3.0,0.0
16f4b,2019-06-08,8,2.0,0.0,0.0,0.0,0.0
16f4b,2019-06-08,9,10.0,0.0,4.0,4.0,21.0
16f4b,2019-06-08,10,8.0,0.0,6.0,13.0,15.0
16f4b,2019-06-08,11,1.0,0.0,2.0,0.0,8.0
